trial,val_accuracy,val_recall,val_precision,val_f1,val_auc,hidden_sizes,n_layers,n_units_l0,n_units_l1,n_units_l2,activation,learning_rate,alpha,batch_size,n_units_l3
46,0.9251447477253929,0.8879310344827587,0.8161648177496038,0.8505367464905037,0.9641237664627968,"[384, 64]",2,384,64,,tanh,0.0014029386313140382,3.218152841010878e-05,64,
47,0.8978414762841905,0.8327586206896552,0.8076923076923077,0.8200339558573854,0.9568172864057634,"[256, 64]",2,256,64,,tanh,0.002096759875443574,0.00011203333833857279,64,
48,0.8840483728359146,0.8258620689655173,0.811864406779661,0.8188034188034188,0.9591070691531275,"[128, 256]",2,128,256,,tanh,0.0015484029872828836,8.838379202871918e-05,64,
49,0.913564929693962,0.8568965517241379,0.797752808988764,0.8262676641729011,0.9597674571310646,"[384, 512]",2,384,512,,tanh,0.0013121814757038343,1.0662266500026234e-06,64,
50,0.8881840221328543,0.8258620689655173,0.8258620689655173,0.8258620689655173,0.9546513264042624,"[384, 384]",2,384,384,,tanh,0.00295483770263036,3.5690478182951466e-05,256,
51,0.9210090984284532,0.8517241379310345,0.8247078464106845,0.8379983036471587,0.9627016809875801,"[384, 64]",2,384,64,,tanh,0.001104008259723912,2.814845053706151e-05,64,
52,0.9160463192721258,0.8672413793103448,0.7996820349761526,0.8320926385442514,0.9581821507635736,"[384, 64]",2,384,64,,tanh,0.0010501478595433236,2.6183975750354264e-05,64,
53,0.9168734491315137,0.85,0.8121911037891268,0.8306655433866892,0.9630468837942291,"[384, 64]",2,384,64,,tanh,0.0008480476444243867,5.0536949545126506e-05,64,
54,0.9247311827956989,0.9,0.8080495356037152,0.8515497553017944,0.967693988968519,"[384, 64]",2,384,64,,tanh,0.0018698845126417778,1.0548410572975359e-05,64,
55,0.9065343258891646,0.8551724137931035,0.7774294670846394,0.8144499178981938,0.9488297812464822,"[128, 128]",2,128,128,,tanh,0.0013419017054278077,1.509257385372031e-05,64,
56,0.8986765922249793,0.846551724137931,0.758887171561051,0.8003259983700082,0.9339128925743875,"[64, 64]",2,64,64,,tanh,0.0018499707263062567,6.906977295523544e-06,64,
57,0.91232423490488,0.8620689655172413,0.7911392405063291,0.8250825082508251,0.9481900303928558,"[512, 512]",2,512,512,,tanh,0.002610702656501445,1.9882475323457655e-06,128,
58,0.9185277088502894,0.85,0.8175787728026535,0.8334742180896028,0.9644980488537016,"[384, 64]",2,384,64,,tanh,0.0006484432210295559,9.028167675213817e-06,64,
59,0.8417021762071819,0.803448275862069,0.8351254480286738,0.8189806678383128,0.955053750328318,"[384, 64, 64, 384]",4,384,64,64.0,tanh,0.0015055271195290947,2.849453060019219e-06,64,384.0
60,0.9081885856079405,0.8551724137931035,0.7823343848580442,0.8171334431630972,0.9562901016847398,"[256, 512]",2,256,512,,relu,0.0018663961104713142,3.931720507616376e-05,256,
61,0.9193548387096774,0.8689655172413793,0.8089887640449438,0.8379052369077307,0.963083467787325,"[384, 64]",2,384,64,,tanh,0.0011636434752805922,1.140360943677892e-05,64,
62,0.9218362282878412,0.903448275862069,0.7975646879756468,0.847210994341148,0.9640881205208061,"[384, 64]",2,384,64,,tanh,0.0008320212151807491,2.56329285791959e-05,64,
63,0.9160463192721258,0.8844827586206897,0.7904468412942989,0.8348250610252238,0.9604025177291658,"[384, 64]",2,384,64,,tanh,0.0008874658559387621,6.145288500104285e-05,64,
64,0.9218362282878412,0.9206896551724137,0.7887740029542097,0.8496420047732697,0.9645599602266332,"[384, 64]",2,384,64,,tanh,0.0007493605696623472,1.7452769309234374e-05,64,
65,0.8995037220843672,0.8448275862068966,0.7620528771384136,0.8013082583810303,0.947538084874864,"[128, 256]",2,128,256,,tanh,0.0007257041583368842,1.7367160919455483e-05,64,
66,0.9201819685690653,0.8551724137931035,0.8198347107438017,0.8371308016877637,0.9670139019173765,"[384, 64]",2,384,64,,tanh,0.000557060639224445,2.4220555288389806e-05,64,
67,0.9189412737799835,0.8672413793103448,0.8086816720257235,0.8369384359400999,0.9630506359986492,"[384, 64]",2,384,64,,tanh,0.0008534336063579264,3.507498999432181e-05,64,
68,0.9226633581472291,0.8706896551724138,0.8184764991896273,0.8437761069340016,0.9625797343439271,"[384, 64]",2,384,64,,tanh,0.0005083759571366222,4.88547162176896e-06,64,
69,0.9102564102564102,0.8620689655172413,0.7849293563579278,0.8216926869350862,0.9459302652808526,"[128, 128, 128, 128]",4,128,128,128.0,tanh,0.0005038917478802171,4.8825443334536844e-06,128,128.0
70,0.8579937822651951,0.8258620689655173,0.7335375191424196,0.7769667477696675,0.9405167723537577,"[64, 512]",2,64,512,,tanh,0.00042629667624092876,3.4426505243592463e-06,64,
71,0.9181141439205955,0.8586206896551725,0.8110749185667753,0.8341708542713567,0.9640374657611347,"[384, 64]",2,384,64,,tanh,0.0007457565856854209,1.6130739613762484e-05,64,
72,0.9181141439205955,0.843103448275862,0.8204697986577181,0.8316326530612245,0.962538460095306,"[384, 64]",2,384,64,,tanh,0.0012481406634689892,9.546213101405442e-06,64,
73,0.9160463192721258,0.8844827586206897,0.7904468412942989,0.8348250610252238,0.9640956249296462,"[384, 64]",2,384,64,,tanh,0.0006851150836325959,1.2963590269501518e-06,64,
74,0.9193548387096774,0.9,0.7921092564491654,0.8426150121065376,0.961876196015159,"[384, 64]",2,384,64,,tanh,0.000798812232066561,2.2018032854603795e-06,64,
75,0.9201819685690653,0.8948275862068965,0.7972350230414746,0.843216896831844,0.9641247045139019,"[384, 64]",2,384,64,,tanh,0.0010106959378875175,1.2823442705897881e-05,64,
76,0.9185277088502894,0.8741379310344828,0.803486529318542,0.8373245251857968,0.9586605568271359,"[512, 384]",2,512,384,,tanh,0.0005652570927312114,6.008018789762056e-06,64,
77,0.9197684036393714,0.8568965517241379,0.8174342105263158,0.8367003367003367,0.9640712356009156,"[384, 64]",2,384,64,,tanh,0.0006190027614415767,2.0620785833543158e-05,64,
78,0.9181141439205955,0.8586206896551725,0.8110749185667753,0.8341708542713567,0.964010262279089,"[384, 64]",2,384,64,,tanh,0.0003943560594088938,4.22608103672967e-05,64,
79,0.7625372921479708,0.7706896551724138,0.8083182640144665,0.7890556045895851,0.9465864320288169,"[256, 256]",2,256,256,,relu,0.0014281877656529183,1.0848370877171715e-05,256,
80,0.9077750206782464,0.8551724137931035,0.7811023622047244,0.8164609053497942,0.952888728377922,"[384, 384, 512]",3,384,384,512.0,relu,0.002041586015076637,8.485845618143839e-06,64,
