id,hidden_layer_sizes,alpha,learning_rate_init,max_iter,best_threshold,train_acc_05,train_rec_05,train_prec_05,train_auc_05,val_acc_05,val_rec_05,val_prec_05,val_auc_05,test_acc_05,test_rec_05,test_prec_05,test_auc_05,val_acc_tuned,val_rec_tuned,val_prec_tuned,val_auc_tuned,test_acc_tuned,test_rec_tuned,test_prec_tuned,test_auc_tuned,val_tn,val_fp,val_fn,val_tp,test_tn,test_fp,test_fn,test_tp,train_time,early_stop_epoch,converged,constraint_met,is_leader
mlp_exp_20251201_2105_model024,"(256, 128, 64)",0.0001,0.0007,500,0.35,0.9498493709020025,0.9497413155949741,0.8566666666666667,0.9882873808871593,0.901571546732837,0.8568965517241379,0.7622699386503068,0.9480788713369103,0.902852418354692,0.8741379310344828,0.757847533632287,0.9515825692374041,0.9057071960297767,0.9293103448275862,0.7424242424242424,0.9480788713369103,0.902852418354692,0.9344827586206896,0.7334235453315291,0.9515825692374041,1651,187,41,539,1642,197,38,542,2.8606457710266113,51,True,True,False
mlp_exp_20251201_2105_model025,"(256, 128, 64)",0.001,0.001,300,0.33999999999999997,0.950735424419635,0.9360679970436068,0.8686556927297668,0.9891962219844703,0.9119106699751861,0.8517241379310345,0.7954911433172303,0.9515914036996735,0.9136006614303431,0.8793103448275862,0.785824345146379,0.9574806397779903,0.9098428453267163,0.9310344827586207,0.7520891364902507,0.9515914036996735,0.9144274493592394,0.9534482758620689,0.7544338335607094,0.9574806397779903,1660,178,40,540,1659,180,27,553,2.354771852493286,42,True,True,False
mlp_exp_20251201_2105_model026,"(256, 128, 64)",0.001,0.001,500,0.33999999999999997,0.950735424419635,0.9360679970436068,0.8686556927297668,0.9891962219844703,0.9119106699751861,0.8517241379310345,0.7954911433172303,0.9515914036996735,0.9136006614303431,0.8793103448275862,0.785824345146379,0.9574806397779903,0.9098428453267163,0.9310344827586207,0.7520891364902507,0.9515914036996735,0.9144274493592394,0.9534482758620689,0.7544338335607094,0.9574806397779903,1660,178,40,540,1659,180,27,553,2.3797481060028076,42,True,True,False
mlp_exp_20251201_2105_model027,"(256, 128, 64)",0.001,0.0007,300,0.33999999999999997,0.9479886585149743,0.9316334072431633,0.8624700650017105,0.9874981048761537,0.913564929693962,0.8568965517241379,0.797752808988764,0.9491646654909761,0.9123604795369987,0.8758620689655172,0.7839506172839507,0.9539564230935103,0.9086021505376344,0.9224137931034483,0.7524613220815752,0.9491646654909761,0.9107069036792063,0.9362068965517242,0.7520775623268698,0.9539564230935103,1662,176,45,535,1660,179,37,543,2.3759279251098633,42,True,True,False
mlp_exp_20251201_2105_model028,"(256, 128, 64)",0.001,0.0007,500,0.33999999999999997,0.9479886585149743,0.9316334072431633,0.8624700650017105,0.9874981048761537,0.913564929693962,0.8568965517241379,0.797752808988764,0.9491646654909761,0.9123604795369987,0.8758620689655172,0.7839506172839507,0.9539564230935103,0.9086021505376344,0.9224137931034483,0.7524613220815752,0.9491646654909761,0.9107069036792063,0.9362068965517242,0.7520775623268698,0.9539564230935103,1662,176,45,535,1660,179,37,543,2.3283579349517822,42,True,True,False
mlp_exp_20251201_2105_model029,"(256, 128, 64)",0.01,0.001,300,0.30000000000000004,0.9466595782385256,0.9246119733924612,0.8627586206896551,0.9876010876288038,0.9073614557485525,0.8482758620689655,0.7834394904458599,0.9485830738058609,0.9090533278214138,0.8724137931034482,0.7760736196319018,0.9530807597832405,0.8949545078577337,0.9224137931034483,0.7190860215053764,0.9485830738058609,0.9024390243902439,0.9431034482758621,0.7293333333333333,0.9530807597832405,1629,209,45,535,1636,203,33,547,2.2464067935943604,41,True,True,False
mlp_exp_20251201_2105_model030,"(256, 128, 64)",0.01,0.001,500,0.30000000000000004,0.9466595782385256,0.9246119733924612,0.8627586206896551,0.9876010876288038,0.9073614557485525,0.8482758620689655,0.7834394904458599,0.9485830738058609,0.9090533278214138,0.8724137931034482,0.7760736196319018,0.9530807597832405,0.8949545078577337,0.9224137931034483,0.7190860215053764,0.9485830738058609,0.9024390243902439,0.9431034482758621,0.7293333333333333,0.9530807597832405,1629,209,45,535,1636,203,33,547,2.245136022567749,41,True,True,False
mlp_exp_20251201_2105_model031,"(256, 128, 64)",0.01,0.0007,300,0.33,0.9473684210526315,0.9257206208425721,0.8643892339544513,0.9873112198223063,0.9077750206782464,0.8413793103448276,0.7883683360258481,0.9458646017035008,0.9115336916081025,0.8603448275862069,0.7895569620253164,0.9508494121617821,0.9081885856079405,0.9206896551724137,0.752112676056338,0.9458646017035008,0.9078131459280695,0.9293103448275862,0.7475728155339806,0.9508494121617821,1662,176,46,534,1657,182,41,539,2.2904326915740967,42,True,True,False
mlp_exp_20251201_2105_model032,"(256, 128, 64)",0.01,0.0007,500,0.33,0.9473684210526315,0.9257206208425721,0.8643892339544513,0.9873112198223063,0.9077750206782464,0.8413793103448276,0.7883683360258481,0.9458646017035008,0.9115336916081025,0.8603448275862069,0.7895569620253164,0.9508494121617821,0.9081885856079405,0.9206896551724137,0.752112676056338,0.9458646017035008,0.9078131459280695,0.9293103448275862,0.7475728155339806,0.9508494121617821,1662,176,46,534,1657,182,41,539,2.4092559814453125,42,True,True,False
mlp_exp_20251201_2105_model033,"(256, 256, 128)",1e-05,0.001,300,0.33,0.9468367889420521,0.8832224685883222,0.893792071802543,0.9864106052853281,0.9081885856079405,0.8051724137931034,0.8107638888888888,0.956455198679224,0.9082265398925176,0.8137931034482758,0.8054607508532423,0.9509872306913426,0.91232423490488,0.9258620689655173,0.7606232294617564,0.956455198679224,0.9036792062835882,0.9120689655172414,0.7440225035161744,0.9509872306913426,1669,169,43,537,1657,182,51,529,2.969434976577759,35,True,False,False
